parameter,best,median,mean,worst
0.0,1.0733565801945844e-05,0.0062983274041733,0.4945559059623409,2.0
1.0,9.1876764375165e-05,0.06841106263019994,0.4564054600632466,1.56155281280883
2.0,5.032536154447875e-05,0.2398238263264986,0.4201173425721213,1.2360679774997896
3.0,1.8574169145635366e-05,0.3346029512830666,0.3871493509090202,1.0000000000000009
4.0,1.6550463138864655e-06,0.3386954779018601,0.3427556307451062,0.8284271247461902
5.0,9.991625407446136e-05,0.31367680898941785,0.3055065432099983,0.701562118716424
6.0,2.176661647312894e-05,0.28254163803291577,0.27262108659834455,0.6055512754639898
7.0,6.594855482700002e-05,0.2535316649670551,0.24575254209499675,0.5311288741492767
8.0,4.712344160662241e-05,0.22858596610122875,0.22464449158521027,0.4721359549995794
