U_left,U_right,Kendall_tau
0.0,1.0,0.6297232757409748
1.0,2.0,0.8713302430116588
2.0,3.0,0.8016565702712841
3.0,4.0,0.8328190825248893
4.0,5.0,0.8659332459748531
5.0,6.0,0.8561418786277457
6.0,7.0,0.8706987367433863
7.0,8.0,0.87488615451949
