arch_seed,mean_tau,min_tau,val_tau,epochs,n_test
11,0.39999999999999997,0.39999999999999997,0.39999999999999997,26,10
23,-0.09999999999999999,-0.19999999999999998,0.39999999999999997,26,10
37,0.7999999999999999,0.7999999999999999,0.0,28,10
51,-0.19999999999999998,-0.19999999999999998,0.7999999999999999,44,10
79,0.0,0.0,0.9999999999999999,27,10
