model,val_tau,epochs,test_tau,test_spearman,n_hamiltonians,n_defined_tau
circuit GAT,0.5032679738562092,43,0.2592592592592593,0.3663570691434468,3,3
joint pairwise GAT,0.5686274509803922,134,0.20261437908496735,0.3058135534915721,3,3
joint factor GAT,0.5032679738562092,68,0.13725490196078433,0.22738218094255247,3,3
joint factor GAT+KAN,0.5555555555555556,54,0.23311546840958608,0.3622291021671826,3,3
