bond_A,arch_seed,arch_id,base_gap,high_precision_gap
1.6,79,12,3.3288553548338484e-05,3.302122300308241e-05
2.0,79,12,0.00010142199863150125,0.00010095852879032918
1.6,79,5,0.00022785067968200678,0.000227396181335493
1.6,79,4,0.00022810644726334317,0.0002273961643419753
2.0,79,5,0.0005791865819002595,0.0005787349294985589
2.0,79,4,0.0005793587183253734,0.0005787349090606853
2.8,79,9,0.0017473065324828951,0.001745123440607621
2.8,79,12,0.002764157327194816,0.002761031195875674
2.8,79,6,0.0032563862708432367,0.0032562501919874975
